,Date,daily_sentiment
0,2023-01-05,0.10401453488372092
1,2023-01-06,0.2631314496314496
2,2023-01-07,0.3202825484764543
3,2023-01-08,0.32333142076502724
4,2023-01-09,0.03986106194690265
5,2023-01-10,0.23140900900900901
6,2023-01-11,0.13692751937984496
7,2023-01-12,0.05315829694323144
8,2023-01-13,0.22456766169154227
9,2023-01-14,0.3232800947867298
10,2023-01-15,0.24016840579710144
11,2023-01-16,0.3054428571428571
12,2023-01-17,0.2241114982578397
13,2023-01-18,0.3272504347826087
14,2023-01-19,0.1923115887850467
15,2023-01-20,0.10511301775147928
16,2023-01-21,0.14497160883280757
17,2023-01-22,0.1972416403785489
18,2023-01-23,0.23740610465116277
19,2023-01-24,0.2251576923076923
20,2023-01-25,0.2641309148264984
21,2023-01-26,0.24598308605341246
